Id,Label,timeset,node,node_type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Treshold_01
theleftchapter.blogspot.com,theleftchapter.blogspot.com,,Target,Web_Domain,1,0,1,4,0,4,0,0,0,0,0
TheLiamMurphy,TheLiamMurphy,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
TheLogNewspaper,TheLogNewspaper,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
www.thelog.com,www.thelog.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
thelongrunorg,thelongrunorg,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
TheMarkMathis,TheMarkMathis,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
TheMikeRafone,TheMikeRafone,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
TheMiningHub,TheMiningHub,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.themininghub.com,www.themininghub.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
Themis_007,Themis_007,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
TheMovieTheater,TheMovieTheater,,Source,Twitter,0,1,1,0,5,5,1,1,1,0,0
themusicagency,themusicagency,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
theNASciences,theNASciences,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.bozemandailychronicle.com,www.bozemandailychronicle.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
theNASEM,theNASEM,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
notes.nap.edu,notes.nap.edu,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
theneolife,theneolife,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.theneolife.com,www.theneolife.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
thenewclimate,thenewclimate,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
TheNewLou,TheNewLou,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
TheNewsGlobe,TheNewsGlobe,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
